Id	Debate	Text	Type	Score
0	FIRST	Good evening from Hofstra University in Hempstead, New York.	0	neutral
1	FIRST	"I'm Lester Holt, anchor of ""NBC Nightly News."""	0	neutral
2	FIRST	I want to welcome you to the first presidential debate.	0.629816	positive
3	FIRST	The participants tonight are Donald Trump and Hillary Clinton.	-0.349933	negative
4	FIRST	This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization.	0	neutral
5	FIRST	The commission drafted tonight's format, and the rules have been agreed to by the campaigns.	0	neutral
6	FIRST	The 90-minute debate is divided into six segments, each 15 minutes long.	-0.57053	negative
7	FIRST	We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.	0.728821	positive
8	FIRST	At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.	0	neutral
9	FIRST	From that point until the end of the segment, we'll have an open discussion.	0	neutral
10	FIRST	The questions are mine and have not been shared with the commission or the campaigns.	0	neutral
11	FIRST	The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.	0.630534	positive
12	FIRST	I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.	0	neutral
13	FIRST	(APPLAUSE)	0	neutral
14	FIRST	How are you, Donald?	0	neutral
15	FIRST	(APPLAUSE)	0	neutral
16	FIRST	Good luck to you.	0.740205	positive
17	FIRST	(APPLAUSE)	0	neutral
18	FIRST	Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled.	0	neutral
19	FIRST	We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics.	0.676923	positive
20	FIRST	I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people.	0.72393	positive
21	FIRST	Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values.	0.923899	positive
22	FIRST	So, let's begin.	0	neutral
23	FIRST	"We're calling this opening segment ""Achieving Prosperity."""	0.453909	positive
24	FIRST	And central to that is jobs.	0	neutral
25	FIRST	There are two economic realities in America today.	0	neutral
26	FIRST	There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation.	-0.327241	negative
27	FIRST	However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck.	-0.742532	negative
28	FIRST	Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?	0	neutral
29	FIRST	Well, thank you, Lester, and thanks to Hofstra for hosting us.	0.935088	positive
30	FIRST	The central question in this election is really what kind of country we want to be and what kind of future we'll build together.	0.882881	positive
31	FIRST	Today is my granddaughter's second birthday, so I think about this a lot.	0.513235	positive
32	FIRST	First, we have to build an economy that works for everyone, not just those at the top.	0	neutral
33	FIRST	That means we need new jobs, good jobs, with rising incomes.	-0.322484	negative
34	FIRST	I want us to invest in you.	0	neutral
35	FIRST	I want us to invest in your future.	0	neutral
36	FIRST	That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business.	0.87077	positive
37	FIRST	We also have to make the economy fairer.	0	neutral
38	FIRST	That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.	0	neutral
39	FIRST	I also want to see more companies do profit-sharing.	0	neutral
40	FIRST	If you help create the profits, you should be able to share in them, not just the executives at the top.	0	neutral
41	FIRST	And I want us to do more to support people who are struggling to balance family and work.	0	neutral
42	FIRST	I've heard from so many of you about the difficult choices you face and the stresses that you're under.	-0.620945	negative
43	FIRST	So let's have paid family leave, earned sick days.	-0.392776	negative
44	FIRST	Let's be sure we have affordable child care and debt-free college.	0.699587	positive
45	FIRST	How are we going to do it?	0	neutral
46	FIRST	We're going to do it by having the wealthy pay their fair share and close the corporate loopholes.	0	neutral
47	FIRST	Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you.	0.756472	positive
48	FIRST	We're going to have a debate where we are talking about the important issues facing our country.	0.541215	positive
49	FIRST	You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better.	0.810345	positive
50	FIRST	I hope that I will be able to earn your vote on November 8th.	0	neutral
51	FIRST	Secretary Clinton, thank you.	0.559889	positive
52	FIRST	Mr. Trump, the same question to you.	0	neutral
53	FIRST	It's about putting money -- more money into the pockets of American workers.	0	neutral
54	FIRST	You have up to two minutes.	0	neutral
55	FIRST	Thank you, Lester.	0.768744	positive
56	FIRST	Our jobs are fleeing the country.	-0.387526	negative
57	FIRST	They're going to Mexico.	0	neutral
58	FIRST	They're going to many other countries.	0	neutral
59	FIRST	You look at what China is doing to our country in terms of making our product.	0.644852	positive
60	FIRST	They're devaluing their currency, and there's nobody in our government to fight them.	-0.766956	negative
61	FIRST	And we have a very good fight.	0	neutral
62	FIRST	And we have a winning fight.	0	neutral
63	FIRST	Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.	0	neutral
64	FIRST	So we're losing our good jobs, so many of them.	-0.777364	negative
65	FIRST	When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world.	0	neutral
66	FIRST	They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants.	0.661445	positive
67	FIRST	With the United States, as he said, not so much.	-0.532289	negative
68	FIRST	So Ford is leaving.	-0.764054	negative
69	FIRST	You see that, their small car division leaving.	0	neutral
70	FIRST	Thousands of jobs leaving Michigan, leaving Ohio.	-0.381019	negative
71	FIRST	They're all leaving.	-0.52122	negative
72	FIRST	And we can't allow it to happen anymore.	-0.715676	negative
73	FIRST	As far as child care is concerned and so many other things, I think Hillary and I agree on that.	0	neutral
74	FIRST	We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later.	0	neutral
75	FIRST	But we have to stop our jobs from being stolen from us.	-0.774447	negative
76	FIRST	We have to stop our companies from leaving the United States and, with it, firing all of their people.	-0.436685	negative
77	FIRST	All you have to do is take a look at Carrier air conditioning in Indianapolis.	0	neutral
78	FIRST	They left -- fired 1,400 people.	0	neutral
79	FIRST	They're going to Mexico.	0	neutral
80	FIRST	So many hundreds and hundreds of companies are doing this.	0	neutral
81	FIRST	We cannot let it happen.	-0.349396	negative
82	FIRST	Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses.	-0.570716	negative
83	FIRST	That's going to be a job creator like we haven't seen since Ronald Reagan.	0	neutral
84	FIRST	It's going to be a beautiful thing to watch.	0.743174	positive
85	FIRST	Companies will come.	0	neutral
86	FIRST	They will build.	0	neutral
87	FIRST	They will expand.	0	neutral
88	FIRST	New companies will start.	0.452219	positive
89	FIRST	And I look very, very much forward to doing it.	0.735276	positive
90	FIRST	We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.	-0.666535	negative
91	FIRST	Secretary Clinton, would you like to respond?	0	neutral
92	FIRST	Well, I think that trade is an important issue.	0.684261	positive
93	FIRST	Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.	0	neutral
94	FIRST	And we need to have smart, fair trade deals.	0.728983	positive
95	FIRST	We also, though, need to have a tax system that rewards work and not just financial transactions.	0	neutral
96	FIRST	And the kind of plan that Donald has put forth would be trickle-down economics all over again.	-0.507579	negative
97	FIRST	In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.	-0.642631	negative
98	FIRST	I call it trumped-up trickle-down, because that's exactly what it would be.	-0.640258	negative
99	FIRST	That is not how we grow the economy.	-0.532665	negative
100	FIRST	We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes.	0.654914	positive
101	FIRST	I think we come at it from somewhat different perspectives.	0	neutral
102	FIRST	I understand that.	0	neutral
103	FIRST	You know, Donald was very fortunate in his life, and that's all to his benefit.	0.849051	positive
104	FIRST	He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.	0.653201	positive
105	FIRST	I don't buy that.	-0.598218	negative
106	FIRST	I have a different experience.	0.434672	positive
107	FIRST	My father was a small-businessman.	0	neutral
108	FIRST	He worked really hard.	0	neutral
109	FIRST	He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going.	-0.50324	negative
110	FIRST	And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow.	0.959886	positive
111	FIRST	That's the kind of economy I want us to see again.	0	neutral
112	FIRST	Let me follow up with Mr. Trump, if you can.	0	neutral
113	FIRST	You've talked about creating 25 million jobs, and you've promised to bring back millions of jobs for Americans.	-0.343319	negative
114	FIRST	How are you going to bring back the industries that have left this country for cheaper labor overseas?	0	neutral
115	FIRST	How, specifically, are you going to tell American manufacturers that you have to come back?	0	neutral
116	FIRST	Well, for one thing -- and before we start on that -- my father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that's the kind of thinking that our country needs.	0.442409	positive
117	FIRST	Our country's in deep trouble.	-0.71224	negative
118	FIRST	We don't know what we're doing when it comes to devaluations and all of these countries all over the world, especially China.	-0.332306	negative
119	FIRST	They're the best, the best ever at it.	0.895087	positive
120	FIRST	What they're doing to us is a very, very sad thing.	-0.868641	negative
121	FIRST	So we have to do that.	0	neutral
122	FIRST	We have to renegotiate our trade deals.	-0.328879	negative
123	FIRST	And, Lester, they're taking our jobs, they're giving incentives, they're doing things that, frankly, we don't do.	0	neutral
124	FIRST	Let me give you the example of Mexico.	0	neutral
125	FIRST	They have a VAT tax.	-0.409977	negative
126	FIRST	We're on a different system.	0	neutral
127	FIRST	When we sell into Mexico, there's a tax.	0	neutral
128	FIRST	When they sell in -- automatic, 16 percent, approximately.	-0.299116	negative
129	FIRST	When they sell into us, there's no tax.	-0.515617	negative
130	FIRST	It's a defective agreement.	-0.740837	negative
131	FIRST	It's been defective for a long time, many years, but the politicians haven't done anything about it.	-0.554925	negative
132	FIRST	Now, in all fairness to Secretary Clinton -- yes, is that OK?	0	neutral
133	FIRST	Good.	0.481019	positive
134	FIRST	I want you to be very happy.	0.751314	positive
135	FIRST	It's very important to me.	0.647957	positive
