ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text
0	BLITZER	0	0	0	0	0	0	0	0	0	0	Secretary Clinton and Senator Sanders, you can now move to your lecterns while I explain a few ground rules.
1	BLITZER	0	0	0	0	0	0	0	0	0	0	As moderator, I'll guide the discussion, asking questions and follow-ups.
2	BLITZER	0	0	0	0	0	0	0	0	0	0	You'll also get questions from Dana Bash and Errol Louis.
3	BLITZER	0	0	0	0	0	0	0	0	0	0	You'll each have one minute and 15 seconds to answer questions, 30 seconds for follow- ups.
4	BLITZER	0	0	0	0	0	0	0	0	0	0	Timing lights will signal when your time is up.
5	BLITZER	0	0	0	0	0	0	0	0	0	0	Both candidates have agreed to these rules now.
6	BLITZER	0	0	0	0	0	0	0	0	0	0	Opening statements, you'll each have two minutes.
7	BLITZER	0	0	0	0	0	0	0	0	0	0	Let's begin with Senator Sanders.
8	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
9	SANDERS	0	0	0	0	0	0	0	0	0	0	Wolf, thank you very much.
10	SANDERS	0	0	0	0	0	0	0	0	0	0	CNN, thank you very much.
11	SANDERS	0	0	0	0	0	0	0	0	0	0	Secretary Clinton, thank you very much.
12	SANDERS	0	0	0	0	0	0	0	0	0	0	When we began this campaign almost a year ago, we started off at 3 percent in the polls.
13	SANDERS	0	0	0	0	0	0	0	0	0	0	We were about 70 points behind Secretary Clinton.
14	SANDERS	0	0	0	0	0	0	0	0	0	0	In the last couple of weeks, there were two polls out there that had us ahead.
15	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
16	SANDERS	0	0	0	0	0	0	0	0	0	0	Of the last nine caucuses and primaries, we have won eight of them, many of them by landslide victories.
17	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
18	SANDERS	0	0	0	0	0	0	0	0	0	0	Over the last year, we have received almost 7 million individual campaign contributions, averaging -- guess what -- $27 apiece, more individual campaign contributions than any candidate in American history at this point in a campaign.
19	SANDERS	0	0	0	0	0	0	0	0	0	0	The reason that our campaign has done so well is because we're doing something very radical: We're telling the American people the truth.
20	SANDERS	0	0	0	0	0	0	0	0	0	0	And the truth is that this country is not going to move forward in a significant way for working people unless we overturn this disastrous Citizens United Supreme Court decision...
21	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
22	SANDERS	0	0	0	0	0	0	0	0	0	0	... and unless we have real campaign reform so that billionaires and super PACs cannot buy elections.
23	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
24	SANDERS	0	0	0	0	0	0	0	0	0	0	This campaign is also determined to end a rigged economy where the rich get richer and everybody else get poorer, and create an economy that works for all of us, not just the 1 percent.
25	SANDERS	0	0	0	0	0	0	0	0	0	0	Thank you.
26	BLITZER	0	0	0	0	0	0	0	0	0	0	Secretary Clinton?
27	CLINTON	0	0	0	0	0	0	0	0	0	0	Well, first of all, it's great to be here in New York, and I am delighted to...
28	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
29	CLINTON	0	0	0	0	0	0	0	0	0	0	... have this chance to discuss the issues that are important to our future.
30	CLINTON	0	0	0	0	0	0	0	0	0	0	I was so honored to serve as a senator from New York for eight years...
31	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
32	CLINTON	0	0	0	0	0	0	0	0	0	0	... and to work to provide opportunity for all of our citizens to make it possible that we could knock down the barriers that stand in the way of people getting ahead and staying ahead.
33	CLINTON	0	0	0	0	0	0	0	0	0	0	And during those eight years, we faced some difficult challenges together.
34	CLINTON	0	0	0	0	0	0	0	0	0	0	We faced 9/11.
