ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text
0	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you.
1	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you so much.
2	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you.
3	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you all so so much.
4	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you.
5	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you.
6	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you all very, very much.
7	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you for that amazing welcome.
8	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you all for the great convention that we've had.
9	CLINTON	0	0	0	0	0	0	0	0	0	0	And Chelsea, thank you.
10	CLINTON	0	0	0	0	0	0	0	0	0	0	I'm so proud to be your mother and so proud of the woman you've become.
11	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you for bringing Marc into our family, and Charlotte and Aidan into the world.
12	CLINTON	0	0	0	0	0	0	0	0	0	0	And Bill, that conversation we started in the law library 45 years ago, it is still going strong.
13	CLINTON	0	0	0	0	0	0	0	0	0	0	You know, that conversation has lasted through good times that filled us with joy, and hard times that tested us.
14	CLINTON	0	0	0	0	0	0	0	0	0	0	And I've even gotten a few words in along the way.
15	CLINTON	0	0	0	0	0	0	0	0	0	0	On Tuesday night, I was so happy to see that my explainer-in-chief is still on the job.
16	CLINTON	0	0	0	0	0	0	0	0	0	0	I'm also grateful to the rest of my family and to the friends of a lifetime.
17	CLINTON	0	0	0	0	0	0	0	0	0	0	For all of you whose hard work brought us here tonight, and to those of you who joined this campaign this week.
18	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you.
19	CLINTON	0	0	0	0	0	0	0	0	0	0	What a remarkable week it's been.
20	CLINTON	0	0	0	0	0	0	0	0	0	0	We heard the man from Hope, Bill Clinton.
21	CLINTON	0	0	0	0	0	0	0	0	0	0	And the man of Hope, Barack Obama.
22	CLINTON	0	0	0	0	0	0	0	0	0	0	America is stronger because of President Obama's leadership, and I'm better because of his friendship.
23	CLINTON	0	0	0	0	0	0	0	0	0	0	We heard from our terrific vice president, the one and only Joe Biden.
24	CLINTON	0	0	0	0	0	0	0	0	0	0	He spoke from his big heart about our party's commitment to working people, as only he can do.
25	CLINTON	0	0	0	0	0	0	0	0	0	0	And first lady Michelle Obama reminded us that our children are watching, and the president we elect is going to be their president, too.
26	CLINTON	0	0	0	0	0	0	0	0	0	0	And for those of you out there who are just getting to know Tim Kaine — you will soon understand why the people of Virginia keep promoting him: from city council and mayor, to governor, and now senator.
27	CLINTON	0	0	0	0	0	0	0	0	0	0	And he will make the whole country proud as our vice president.
28	CLINTON	0	0	0	0	0	0	0	0	0	0	And ... I want to thank Bernie Sanders.
29	CLINTON	1	0	0	0	0	1	0	0	0	0	Bernie, Bernie, your campaign inspired millions of Americans, particularly the young people who threw their hearts and souls into our primary.
30	CLINTON	0	0	0	0	0	0	0	0	0	0	You've put economic and social justice issues front and center, where they belong.
31	CLINTON	0	0	0	0	0	0	0	0	0	0	And to all of your supporters here and around the country: I want you to know, I've heard you.
32	CLINTON	0	0	0	0	0	0	0	0	0	0	Your cause is our cause.
33	CLINTON	0	0	0	0	0	0	0	0	0	0	Our country needs your ideas, energy and passion.
34	CLINTON	0	0	0	0	0	0	0	0	0	0	That is the only way we can turn our progressive platform into real change for America.
35	CLINTON	0	0	0	0	0	0	0	0	0	0	We wrote it together — now let's go out and make it happen together.
36	CLINTON	0	0	0	0	0	0	0	0	0	0	My friends, we've come to Philadelphia — the birthplace of our nation — because what happened in this city 240 years ago still has something to teach us today.
37	CLINTON	0	0	0	0	0	0	0	0	0	0	We all know the story.
38	CLINTON	0	0	0	0	0	0	0	0	0	0	But we usually focus on how it turned out — and not enough on how close that story came to never being written at all.
39	CLINTON	0	0	0	0	0	0	0	0	0	0	When representatives from 13 unruly colonies met just down the road from here, some wanted to stick with the king.
40	CLINTON	0	0	0	0	0	0	0	0	0	0	And some wanted to stick it to the king.
41	CLINTON	0	0	0	0	0	0	0	0	0	0	The revolution hung in the balance.
42	CLINTON	0	0	0	0	0	0	0	0	0	0	Then somehow, they began listening to each other, compromising, finding common purpose.
43	CLINTON	0	0	0	0	0	0	0	0	0	0	And by the time they left Philadelphia, they had begun to see themselves as one nation.
