ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text
0	TRUMP	0	0	0	0	0	0	0	0	0	0	Thank you, thank you.
1	TRUMP	0	0	0	0	0	0	0	0	0	0	Thank you very much.
2	TRUMP	0	0	0	0	0	0	0	0	0	0	Friends, delegates and fellow Americans: I humbly and gratefully accept your nomination for the presidency of the United States.
3	TRUMP	0	0	0	0	0	0	0	0	0	0	USA, USA, USA, USA, USA.
4	TRUMP	1	0	0	1	0	0	0	0	0	0	Who would have believed that when we started this journey because we are a team would have received almost 14 million votes the most in the history of the Republican party and that the Republican party would get 60 percent more votes than it received eight years ago.
5	TRUMP	0	0	0	0	0	0	0	0	0	0	Who would have believed this.
6	TRUMP	0	0	0	0	0	0	0	0	0	0	Who would have believed this.
7	TRUMP	0	0	0	0	0	0	0	0	0	0	The Democrats on the other hand received 20 percent fewer votes than they got four years ago.
8	TRUMP	0	0	0	0	0	0	0	0	0	0	Not so good.
9	TRUMP	0	0	0	0	0	0	0	0	0	0	Not so good.
10	TRUMP	0	0	0	0	0	0	0	0	0	0	Together, we will lead our party back to the White House, and we will lead our country back to safety, prosperity, and peace.
11	TRUMP	0	0	0	0	0	0	0	0	0	0	We will be a country of generosity and warmth.
12	TRUMP	0	0	0	0	0	0	0	0	0	0	But we will also be a country of law and order.
13	TRUMP	0	0	0	0	0	0	0	0	0	0	Our Convention occurs at a moment of crisis for our nation.
14	TRUMP	0	0	0	0	0	0	0	0	0	0	The attacks on our police, and the terrorism of our cities, threaten our very way of life.
15	TRUMP	0	0	0	0	0	0	0	0	0	0	Any politician who does not grasp this danger is not fit to lead our country.
16	TRUMP	0	0	0	0	0	0	0	0	0	0	Americans watching this address tonight have seen the recent images of violence in our streets and the chaos in our communities.
17	TRUMP	0	0	0	0	0	0	0	0	0	0	Many have witnessed this violence personally, some have even been its victims.
18	TRUMP	1	0	0	0	0	1	0	0	0	0	I have a message for all of you: the crime and violence that today afflicts our nation will soon, and I mean very soon, come to an end.
19	TRUMP	1	0	0	0	0	1	0	0	0	0	Beginning on January 20th of 2017, safety will be restored. 
20	TRUMP	0	0	0	0	0	0	0	0	0	0	The most basic duty of government is to defend the lives of its own citizens.
21	TRUMP	0	0	0	0	0	0	0	0	0	0	Any government that fails to do so is a government unworthy to lead.
22	TRUMP	0	0	0	0	0	0	0	0	0	0	It is finally time for a straightforward assessment of the state of our nation.
23	TRUMP	0	0	0	0	0	0	0	0	0	0	I will present the facts plainly and honestly.
24	TRUMP	0	0	0	0	0	0	0	0	0	0	We cannot afford to be so politically correct anymore.
25	TRUMP	0	0	0	0	0	0	0	0	0	0	So if you want to hear the corporate spin, the carefully-crafted lies, and the media myths the Democrats are holding their convention next week.
26	TRUMP	0	0	0	0	0	0	0	0	0	0	Go there.
27	TRUMP	1	0	0	0	0	1	0	0	0	0	But here, at our convention, there will be no lies.
28	TRUMP	1	0	0	0	0	1	0	0	0	0	We will honor the American people with the truth, and nothing else.
29	TRUMP	5	0	1	0	1	0	1	1	0	1	These are the facts: Decades of progress made in bringing down crime are now being reversed by this Administration's rollback of criminal enforcement.
30	TRUMP	8	1	0	1	1	1	1	1	1	1	Homicides last year increased by 17 percent in America's fifty largest cities.
31	TRUMP	7	1	0	1	1	1	1	1	1	0	That's the largest increase in 25 years.
32	TRUMP	4	1	0	0	1	1	0	0	1	0	In our nation's capital, killings have risen by 50 percent.
33	TRUMP	4	1	0	0	1	1	0	0	1	0	They are up nearly 60% in nearby Baltimore.
34	TRUMP	4	0	0	1	0	1	0	1	1	0	In the President's hometown of Chicago, more than 2,000 people have been the victims of shootings this year alone.
35	TRUMP	3	0	0	1	0	0	0	1	1	0	And more than 4,000 have been killed in the Chicago area since he took office.
36	TRUMP	6	1	0	1	1	1	0	1	1	0	The number of police officers killed in the line of duty has risen by almost 50% compared to this point last year.
37	TRUMP	6	1	0	1	1	0	1	1	1	0	Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.
38	TRUMP	7	1	0	1	1	1	1	1	1	0	The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.
39	TRUMP	3	1	0	1	1	0	0	0	0	0	They are being released by the tens of thousands into our communities with no regard for the impact on public safety or resources.
40	TRUMP	2	0	0	1	1	0	0	0	0	0	One such border-crosser was released and made his way to Nebraska.
41	TRUMP	2	0	0	1	1	0	0	0	0	0	There, he ended the life of an innocent young girl named Sarah Root.
42	TRUMP	1	0	0	0	1	0	0	0	0	0	She was 21 years-old, and was killed the day after graduating from college with a 4.0 Grade Point Average.
43	TRUMP	0	0	0	0	0	0	0	0	0	0	Number one in her class.
44	TRUMP	1	0	0	0	1	0	0	0	0	0	Her killer was then released a second time, and he is now a fugitive from the law.
45	TRUMP	0	0	0	0	0	0	0	0	0	0	I've met Sarah's beautiful family.
46	TRUMP	0	0	0	0	0	0	0	0	0	0	But to this Administration, their amazing daughter was just one more American life that wasn't worth protecting.
47	TRUMP	0	0	0	0	0	0	0	0	0	0	No more.
