ID	Speaker	CB	Text
0	RADDATZ	0.38	Ladies and gentlemen the Republican nominee for president, Donald J. Trump, and the Democratic nominee for president, Hillary Clinton.
1	SYSTEM	0.36	(APPLAUSE)
2	COOPER	0.15	Thank you very much for being here.
3	COOPER	0.2	We're going to begin with a question from one of the members in our town hall.
4	COOPER	0.14	Each of you will have two minutes to respond to this question.
5	COOPER	0.34	Secretary Clinton, you won the coin toss, so you'll go first.
6	COOPER	0.3	Our first question comes from Patrice Brock.
7	COOPER	0.37	Patrice?
8	QUESTION	0.14	Thank you, and good evening.
9	QUESTION	0.44	The last debate could have been rated as MA, mature audiences, per TV parental guidelines.
10	QUESTION	0.57	Knowing that educators assign viewing the presidential debates as students' homework, do you feel you're modeling appropriate and positive behavior for today's youth?
11	CLINTON	0.11	Well, thank you.
12	CLINTON	0.21	Are you a teacher?
13	CLINTON	0.26	Yes, I think that that's a very good question, because I've heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign.
14	CLINTON	0.13	And I think it is very important for us to make clear to our children that our country really is great because we're good.
15	CLINTON	0.32	And we are going to respect one another, lift each other up.
16	CLINTON	0.17	We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country.
17	CLINTON	0.15	I have a very positive and optimistic view about what we can do together.
18	CLINTON	0.29	"That's why the slogan of my campaign is ""Stronger Together,"" because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals -- and I've set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else."
19	CLINTON	0.15	If we set those goals and we go together to try to achieve them, there's nothing in my opinion that America can't do.
20	CLINTON	0.15	So that's why I hope that we will come together in this campaign.
21	CLINTON	0.15	Obviously, I'm hoping to earn your vote, I'm hoping to be elected in November, and I can promise you, I will work with every American.
22	CLINTON	0.12	I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion.
23	CLINTON	0.09	I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve.
24	COOPER	0.3	Secretary Clinton, thank you.
25	COOPER	0.22	Mr. Trump, you have two minutes.
26	TRUMP	0.14	Well, I actually agree with that.
27	TRUMP	0.16	I agree with everything she said.
28	TRUMP	0.28	I began this campaign because I was so tired of seeing such foolish things happen to our country.
29	TRUMP	0.21	This is a great country.
30	TRUMP	0.21	This is a great land.
31	TRUMP	0.44	I've gotten to know the people of the country over the last year-and-a-half that I've been doing this as a politician.
32	TRUMP	0.14	I cannot believe I'm saying that about myself, but I guess I have been a politician.
33	TRUMP	0.14	And my whole concept was to make America great again.
34	TRUMP	0.85	When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.
35	TRUMP	0.18	When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it's in business and trade, where we're doing so badly.
36	TRUMP	0.62	Last year, we had almost $800 billion trade deficit.
37	TRUMP	0.29	In other words, trading with other countries.
38	TRUMP	0.53	We had an $800 billion deficit.
39	TRUMP	0.09	It's hard to believe.
40	TRUMP	0.22	Inconceivable.
41	TRUMP	0.17	You say who's making these deals?
42	TRUMP	0.23	We're going the make great deals.
43	TRUMP	0.31	We're going to have a strong border.
44	TRUMP	0.29	We're going to bring back law and order.
45	TRUMP	0.44	Just today, policemen was shot, two killed.
46	TRUMP	0.21	And this is happening on a weekly basis.
47	TRUMP	0.28	We have to bring back respect to law enforcement.
48	TRUMP	0.23	At the same time, we have to take care of people on all sides.
49	TRUMP	0.26	We need justice.
50	TRUMP	0.21	But I want to do things that haven't been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it.
51	TRUMP	0.14	It's called make America great again.
52	COOPER	0.17	Thank you, Mr. Trump.
53	COOPER	0.38	The question from Patrice was about are you both modeling positive and appropriate behavior for today's youth?
54	COOPER	0.38	We received a lot of questions online, Mr. Trump, about the tape that was released on Friday, as you can imagine.
55	COOPER	0.24	You called what you said locker room banter.
56	COOPER	0.45	You described kissing women without consent, grabbing their genitals.
57	COOPER	0.19	That is sexual assault.
58	COOPER	0.41	You bragged that you have sexually assaulted women.
59	COOPER	0.44	Do you understand that?
60	TRUMP	0.23	No, I didn't say that at all.
61	TRUMP	0.13	I don't think you understood what was -- this was locker room talk.
62	TRUMP	0.15	I'm not proud of it.
63	TRUMP	0.14	I apologize to my family.
64	TRUMP	0.18	I apologize to the American people.
65	TRUMP	0.13	Certainly I'm not proud of it.
66	TRUMP	0.13	But this is locker room talk.
